study_ID,study_name,genus,species,species_genus_sp,life_stage,animal_source,body_mass_g,respiration_mode,replication_level,dive_type,mean_or_max,acclimation_temp,t1,t2,delta_t,mean_control,sd_control,n_control,se_control,mean_treatment,sd_treatment,n_treatment,se_treatment,shared_control,Q10,source,
106,106_Samajova&Gvozdik_2009,Triturus,alpestris,Triturus alpestris,adult,wild,unreported,aerial,individual,voluntary,mean,18-16,10,20,10,5.512820513,1.954108603,12,0.564102564,2.102564103,0.53293871,12,0.153846154,1,0.381395349,Fig2A,
106,106_Samajova&Gvozdik_2009,Triturus,alpestris,Triturus alpestris,adult,wild,unreported,aerial,individual,voluntary,mean,18-16,10,25,15,5.512820513,1.954108603,12,0.564102564,0.923076923,0.222057796,12,0.064102564,1,0.303791786,Fig2A,
106,106_Samajova&Gvozdik_2009,Triturus,alpestris,Triturus alpestris,adult,wild,unreported,aerial,individual,voluntary,mean,18-16,15,20,5,3.320512821,1.154700538,12,0.333333333,2.102564103,0.53293871,12,0.153846154,2,0.400948108,Fig2A,
106,106_Samajova&Gvozdik_2009,Triturus,alpestris,Triturus alpestris,adult,wild,unreported,aerial,individual,voluntary,mean,18-16,15,25,10,3.320512821,1.154700538,12,0.333333333,0.923076923,0.222057796,12,0.064102564,2,0.277992278,Fig2A,
106,106_Samajova&Gvozdik_2009,Triturus,alpestris,Triturus alpestris,adult,wild,unreported,aerial,individual,voluntary,mean,18-16,20,25,5,2.102564103,0.53293871,12,0.153846154,0.923076923,0.222057796,12,0.064102564,3,0.192742415,Fig2A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
